arm,model,precision,template,degradation,severity,item,gold,answer,verbalized,internal,correct,match_method,n_answer_tokens,raw
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,0,beignets,beignets,0.85,0.9923275709152222,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,40,beignets,beignets,0.9,0.9785257577896118,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,41,beignets,beignets,0.9,0.993179698785146,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,42,beignets,beignets,0.9,0.9871291915575664,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,43,beignets,beignets,0.9,0.9831093152364097,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,44,beignets,beignets,0.9,0.9868621627489724,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,45,beignets,beignets,0.9,0.882899284362793,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,46,beignets,beignets,0.85,0.9881431659062704,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,47,beignets,beignets,0.9,0.9310702284177144,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,48,beignets,beignets,0.9,0.9930797417958578,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,49,beignets,beignets,0.85,0.988209823767344,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,50,beignets,beignets,0.9,0.9949946999549866,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,51,beignets,beignets,0.9,0.9920332233111064,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,52,beignets,beignets,0.9,0.9809049566586812,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,53,beignets,beignets,0.9,0.9899915854136148,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,54,beignets,beignets,0.9,0.986552635828654,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,55,beignets,beignets,0.9,0.9953820109367372,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,56,beignets,beignets,0.9,0.9864168763160706,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,57,beignets,beignets,0.9,0.9211949706077576,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,58,beignets,beignets,0.9,0.9881579677263896,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,59,beignets,beignets,0.9,0.9944013158480326,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,60,beignets,beignets,0.9,0.985564668973287,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,61,beignets,beignets,0.85,0.9883795579274496,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,62,beignets,beignets,0.9,0.9688940246899924,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,63,beignets,beignets,0.9,0.9840399225552876,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,64,beignets,beignets,0.9,0.9873806834220886,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,65,beignets,beignets,0.85,0.9899936318397522,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,66,beignets,beignets,0.9,0.993193785349528,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,67,beignets,beignets,0.9,0.9938821196556092,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,68,beignets,beignets,0.9,0.9881215492884318,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,69,beignets,beignets,0.85,0.9889821608861288,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,70,beignets,beignets,0.9,0.9821799993515016,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,71,beignets,beignets,0.9,0.9910324613253276,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,72,beignets,beignets,0.9,0.9739756385485332,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,73,beignets,beignets,0.9,0.9912106196085612,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,74,beignets,beignets,0.9,0.9923441410064696,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,75,beignets,beignets,0.9,0.9926984906196594,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,76,beignets,beignets,0.9,0.9781367182731628,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,77,beignets,beignets,0.9,0.9881319801012676,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,78,beignets,beignets,0.9,0.9852179090181986,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,79,beignets,beignets,0.9,0.992415487766266,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,80,beignets,beignets,0.9,0.9858574668566386,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,81,beignets,beignets,0.9,0.9489227135976156,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,82,beignets,beignets,0.9,0.9742903312047324,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,83,beignets,beignets,0.9,0.9897444248199464,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,84,beignets,beignets,0.9,0.9922126730283102,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,85,beignets,beignets,0.9,0.9683342774709066,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,86,beignets,beignets,0.85,0.9719852606455484,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,87,beignets,beignets,0.9,0.9725091656049092,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,88,beignets,bread pudding,0.9,0.9754177033901216,0,contains,2,Answer: bread pudding | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,89,beignets,bread pudding,0.9,0.8469723165035248,0,contains,2,Answer: bread pudding | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,90,beignets,beignets,0.9,0.9904624223709106,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,91,beignets,beignets,0.85,0.9803414940834044,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,92,beignets,beignets,0.9,0.9949681162834167,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,93,beignets,beignets,0.85,0.9888034661610922,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,94,beignets,beignets,0.85,0.9870955348014832,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,95,beignets,beignets,0.85,0.9922262827555338,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,96,beignets,beignets,0.9,0.9853028456370037,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,97,beignets,cake,0.9,0.2952513396739959,0,nomatch,1,Answer: cake | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,98,beignets,beignets,0.9,0.988176703453064,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,99,beignets,beignets,0.9,0.9867780009905496,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,0,beignets,beignets,0.9,0.9940424164136252,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,1,beignets,beignets,0.85,0.9129832983016968,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,2,beignets,beignets,0.9,0.993169089158376,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,3,beignets,beignets,0.9,0.9864270289738972,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,4,beignets,beignets,0.9,0.9947679241498312,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,5,beignets,beignets,0.85,0.9805765549341836,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,6,beignets,beignets,0.9,0.9809807737668356,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,7,beignets,beignets,0.9,0.99082879225413,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,8,beignets,fried calamari,0.85,0.9070159196853638,0,contains,3,Answer: fried calamari | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,9,beignets,beignets,0.9,0.99009503920873,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,10,beignets,beignets,0.9,0.9928019444147744,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,11,beignets,beignets,0.9,0.990110675493876,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,12,beignets,chicken nuggets,0.9,0.689755767583847,0,nomatch,3,Answer: chicken nuggets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,13,beignets,beignets,0.9,0.991507351398468,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,14,beignets,beignets,0.9,0.9939104715983073,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,15,beignets,beignets,0.9,0.9928299983342488,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,16,beignets,beignets,0.9,0.9940841794013976,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,17,beignets,beignets,0.9,0.9887652595837912,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,18,beignets,beignets,0.9,0.994802455107371,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,19,beignets,beignets,0.8,0.9813976486523946,1,exact,3,Answer: beignets | Confidence: 80
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,20,beignets,beignets,0.85,0.9940669337908428,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,21,beignets,beignets,0.9,0.913904587427775,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,22,beignets,beignets,0.9,0.9889221588770548,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,23,beignets,beignets,0.85,0.9837271173795064,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,24,beignets,beignets,0.9,0.9793388843536376,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,25,beignets,beignets,0.9,0.98905215660731,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,26,beignets,beignets,0.9,0.9888457854588828,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,27,beignets,beignets,0.9,0.9925697644551597,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,28,beignets,beignets,0.85,0.9594109853108724,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,29,beignets,beignets,0.9,0.9883573849995932,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,30,beignets,beignets,0.9,0.9905693928400676,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,31,beignets,beignets,0.9,0.9873943527539571,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,32,beignets,beignets,0.9,0.975158949693044,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,33,beignets,beignets,0.9,0.9946171243985494,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,34,beignets,beignets,0.9,0.9890322883923848,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,35,beignets,beignets,0.8,0.975412388642629,1,exact,3,Answer: beignets | Confidence: 80
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,36,beignets,fried calamari,0.9,0.9616979757944742,0,contains,3,Answer: fried calamari | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,37,beignets,beignets,0.85,0.9920468926429749,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,38,beignets,beignets,0.85,0.9790536165237428,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,39,beignets,beignets,0.9,0.991162359714508,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,40,beignets,beignets,0.9,0.9701470931371052,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,41,beignets,beignets,0.9,0.9923449754714966,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,42,beignets,beignets,0.9,0.9771661758422852,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,43,beignets,beignets,0.9,0.9882830778757732,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,44,beignets,beignets,0.9,0.98632284005483,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,45,beignets,beignets,0.9,0.8766513069470724,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,46,beignets,beignets,0.85,0.9857511123021444,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,47,beignets,beignets,0.9,0.9420140981674194,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,48,beignets,beignets,0.9,0.9911870956420898,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,49,beignets,beignets,0.9,0.9900473952293396,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,50,beignets,beignets,0.9,0.9953559637069702,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,51,beignets,beignets,0.9,0.9908671180407206,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,52,beignets,beignets,0.9,0.9788937966028848,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,53,beignets,beignets,0.9,0.9929073452949524,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,54,beignets,beignets,0.85,0.9855756958325704,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,55,beignets,beignets,0.9,0.994660218556722,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,56,beignets,beignets,0.9,0.9861346483230592,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,57,beignets,beignets,0.9,0.9030621846516927,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,58,beignets,beignets,0.9,0.990153749783834,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,59,beignets,beignets,0.9,0.9904408852259318,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,60,beignets,beignets,0.85,0.7715452313423157,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,61,beignets,beignets,0.9,0.9896416664123536,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,62,beignets,beignets,0.9,0.9645742774009703,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,glare,1,63,beignets,beignets,0.9,0.9851457079251608,1,exact,3,Answer: beignets | Confidence: 90
